Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
232	ampere09.cc.gatech.edu	1775446548.743	  2204.323	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_manganese_nitride_t.gz 100000000 -pp 100000000 --total-program-instructions 511017625 -a 4 -f 35000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f35k/BQ_manganese_nitride_t.out
63	ampere11.cc.gatech.edu	1775446531.210	  2229.598	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_hc3h2cn_q.gz 100000000 -pp 100000000 --total-program-instructions 567514424 -a 4 -f 40000 &> out/rdr_micro2026/simulation_results/baseline_f40k/BQ_hc3h2cn_q.out
53	ampere11.cc.gatech.edu	1775446530.189	  2232.715	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_c2h4o_ethylene_oxide_t.gz 100000000 -pp 100000000 --total-program-instructions 532474699 -a 4 -f 40000 &> out/rdr_micro2026/simulation_results/baseline_f40k/BQ_c2h4o_ethylene_oxide_t.out
43	ampere11.cc.gatech.edu	1775446529.160	  2235.553	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_c2h4o_ethylene_oxide_q.gz 100000000 -pp 100000000 --total-program-instructions 553239611 -a 4 -f 40000 &> out/rdr_micro2026/simulation_results/baseline_f40k/BQ_c2h4o_ethylene_oxide_q.out
3	ampere11.cc.gatech.edu	1775446525.073	  2240.032	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_chromium_q.gz 100000000 -pp 100000000 --total-program-instructions 558107204 -a 4 -f 40000 &> out/rdr_micro2026/simulation_results/baseline_f40k/BQ_chromium_q.out
73	ampere11.cc.gatech.edu	1775446532.238	  2236.792	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_hc3h2cn_t.gz 100000000 -pp 100000000 --total-program-instructions 509061509 -a 4 -f 40000 &> out/rdr_micro2026/simulation_results/baseline_f40k/BQ_hc3h2cn_t.out
224	ampere09.cc.gatech.edu	1775446547.911	  2223.285	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_manganese_nitride_q.gz 100000000 -pp 100000000 --total-program-instructions 511694490 -a 4 -f 45000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f45k/BQ_manganese_nitride_q.out
174	ampere09.cc.gatech.edu	1775446542.698	  2233.243	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_bose_hubbard_t.gz 100000000 -pp 100000000 --total-program-instructions 235774640 -a 4 -f 45000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f45k/BQ_bose_hubbard_t.out
33	ampere11.cc.gatech.edu	1775446528.137	  2248.006	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_bose_hubbard_t.gz 100000000 -pp 100000000 --total-program-instructions 235774640 -a 4 -f 40000 &> out/rdr_micro2026/simulation_results/baseline_f40k/BQ_bose_hubbard_t.out
194	ampere09.cc.gatech.edu	1775446544.789	  2232.667	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_c2h4o_ethylene_oxide_t.gz 100000000 -pp 100000000 --total-program-instructions 532474699 -a 4 -f 45000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f45k/BQ_c2h4o_ethylene_oxide_t.out
