angle,t_count_x,t_count_2x,len_x,len_2x
4.6718137884898123,50,50,74,82
4.6770969737969921,50,50,84,82
4.6823801591041718,48,50,72,82
4.6876633444113516,50,48,75,76
4.6929465297185313,50,48,74,76
4.6982297150257102,52,48,81,69
4.7035129003328899,52,48,80,69
4.7087960856400697,48,48,69,69
4.7140792709472494,50,48,74,82
4.7193624562544292,52,48,82,82
4.7246456415616089,50,48,81,82
4.7299288268687878,52,48,74,73
4.7352120121759675,52,48,78,73
4.7404951974831473,48,50,77,78
4.745778382790327,48,50,71,78
4.7510615680975068,50,50,78,78
4.7563447534046857,50,50,82,78
4.7616279387118654,52,50,81,78
4.7669111240190452,42,50,67,78
4.7721943093262249,44,50,73,83
4.7774774946334047,50,50,72,83
4.7827606799405844,50,50,76,76
4.7880438652477633,46,50,69,76
4.793327050554943,52,50,80,76
4.7986102358621228,50,50,79,76
4.8038934211693025,52,50,82,76
4.8091766064764823,48,50,78,76
4.8144597917836611,50,52,79,77
4.8197429770908409,50,52,73,77
4.8250261623980206,48,50,70,76
4.8303093477052004,50,50,75,76
4.8355925330123801,48,50,74,76
4.8408757183195599,52,50,74,76
4.8461589036267387,52,50,77,76
4.8514420889339185,44,50,70,76
4.8567252742410982,50,48,81,74
4.862008459548278,52,48,77,74
4.8672916448554577,48,50,82,81
4.8725748301626366,50,50,76,81
4.8778580154698163,52,50,82,81
4.8831412007769961,50,50,71,81
4.8884243860841758,50,50,78,81
4.8937075713913556,50,54,74,77
4.8989907566985353,52,54,78,77
4.9042739420057142,46,54,67,77
4.909557127312894,50,50,73,79
4.9148403126200737,50,50,81,79
4.9201234979272535,50,50,81,79
4.9254066832344332,54,50,82,79
4.9306898685416121,46,50,71,79
4.9359730538487918,52,48,77,74
4.9412562391559716,48,48,71,74
4.9465394244631513,50,48,78,74
4.9518226097703311,52,50,86,70
4.9571057950775099,50,50,73,70
4.9623889803846897,50,50,84,70
4.9676721656918694,52,50,79,70
4.9729553509990492,48,50,70,70
4.9782385363062289,48,50,72,77
4.9835217216134087,52,50,77,77
4.9888049069205875,52,50,80,77
4.9940880922277673,48,52,73,81
4.999371277534947,48,52,79,81
5.0046544628421268,52,52,82,81
5.0099376481493065,42,52,68,81
